"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Somsakun Maneerat;198233280;Modélisation à base d'agents des risques vectoriels en milieux urbains: exemple d'Aedes aegypti, vecteur de la dengue, à Delhi (Inde);Emmanuel Eliot,Eric Daudé;Eliot Emmanuel,Daudé Eric;144790297,071014683;Rouen;026403919;Géographie;soutenue;;01-01-2016;fr;2016ROUEL014;non;08-04-2013;06-05-2017;
Catherine Franceschi-Zaharia;19737980X;Du paysage et de ses quasivalents : le parti pris des mots;Augustin Berque;Berque Augustin;026723220;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2016;fr;2016EHES0095;non;05-01-2017;11-05-2017;
Bérénice Bon;189180390;Quand le métro rencontre la ville : échelles et cadres d'action d'un grand projet à Delhi;Loraine Kennedy;Kennedy Loraine;083152431;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2015;fr;2015EHES0089;non;31-10-2015;30-10-2015;
Chloé Yvroux;168553503;Le conflit israélo-palestinien en représentations;Jean-Paul Bord;Bord Jean-Paul;028291425;Montpellier 3;026404702;Géographie;soutenue;;20-11-2012;fr;2012MON30044;non;05-04-2013;14-12-2015;
Felana Raharisoa Olisoa;168746638;Mutations des espaces périurbains d'Antananarivo : population, habitat et occupation du sol;Jean-Luc Mercier,Joséline Ramamonjisoa;Mercier Jean-Luc,Ramamonjisoa Joséline;031964001,03024031X;Strasbourg;131056549;Géographie;soutenue;;14-09-2012;fr;2012STRAG034;oui;18-06-2013;18-06-2013;
Lucienne Wilmé;12709833X;'Biogeographic Evolution of Madagascar's Microendemic Biota' : analyse et déconstruction;Jean-Luc Mercier;Mercier Jean-Luc;031964001;Strasbourg;131056549;Géographie;soutenue;;17-09-2012;fr;2012STRAG050;oui;19-01-2015;19-01-2015;
Mélanie Fournier;169732398;L'apport de l'imagerie satellitale à la surveillance maritime. Contribution géographique et géopolitique;Henry Bakis,Valérie Lavaud-Letilleul;Bakis Henry,Lavaud-Letilleul Valérie;026701634,069629285;Montpellier 3;026404702;Géographie;soutenue;;10-12-2012;fr;2012MON30075;oui;04-06-2013;14-12-2015;
Marabe Ngar-Odjilo;172455022;Voyages et voyageurs dans le bassin du Tchad : aux marges du tourisme.;Philippe Bachimon;Bachimon Philippe;030391202;Grenoble;030327202;Géographie;soutenue;;10-09-2012;fr;2012GRENH011;oui;19-03-2014;19-03-2014;
Igor De Franca Catalao;179731149;Différence, dispersion et fragmentation sociospatiale : explorations métropolitaines à Brasilia et Curitiba;Loïc Grasland;Grasland Loïc;035784997;Avignon;026369044;Géographie;soutenue;;15-05-2013;fr;2013AVIG1134;oui;26-09-2011;28-07-2014;
Gregory Morisseau;174731647;Mer combattue, mer acceptée : un projet de paysages et ses problématiques Bas-Champs (Picardie, France) et Camargue (PACA, France);Jean-Paul Amat;Amat Jean-Paul;029639204;Paris 4;026403633;Géographie;soutenue;;08-02-2013;fr;2013PA040063;non;26-09-2011;01-04-2017;
Caroline Lamy;171176642;Des centres de magasins d’usine aux villages de marques : nouvelles traductions du concept, nouvelles localisations, nouveaux enjeux territoriaux;René-Paul Desse;Desse René-Paul;055780571;Brest;026403021;Géographie;soutenue;;21-12-2012;fr;2012BRES0055;non;26-09-2011;28-08-2013;
Bernard Guézo;078684056;Le territoire-étagé : un outil d'ingénierie pour agir sur la vulnérabilité des espaces métapolitains;Patrick Pigeon;Pigeon Patrick;027073351;Grenoble;030327202;Géographie;soutenue;;19-12-2012;fr;2012GRENA041;oui;29-03-2013;29-03-2013;
M’bark Aouragh;167810480;Dynamique des paysages de l'arganeraie du Sud-Ouest marocain : apport des données de télédétection et perspectives de les intégrer dans un SIG;Micheline Hotyat,Rachid Ragala;Hotyat Micheline,Ragala Rachid;03512749X,033142564;Paris 4;026403633;Géographie;soutenue;;10-12-2012;fr;2012PA040135;non;14-06-2013;10-04-2017;
Marc Langenbach;17716168X;Le marché du tourisme sportif de nature dans les systèmes territoriaux des espaces touristiques et ruraux : l'exemple de l'Ardèche;John N. Tuppen,Pascal Mao;Tuppen John N.,Mao Pascal;028416376,07604744X;Grenoble;030327202;Géographie;soutenue;;13-12-2012;fr;2012GRENH021;oui;25-03-2014;25-03-2014;
David Amiaud;178995983;Tourisme et handicap : recherche sur les conditions d'accessibilité aux aménités du littoral;Isabelle Sacareau,Virginie Cazes-Duvat;Sacareau Isabelle,Cazes-Duvat Virginie;035187824,049412655;La Rochelle;035375043;Géographie;soutenue;;12-10-2012;fr;2012LAROF044;oui;26-09-2011;10-04-2015;
Milly Aoustin;17276615X;L’informalité dans le quartier de la Goutte d’Or à Paris : économie immigrante, africanité et politiques urbaines;Guy Burgel;Burgel Guy;026759284;Paris 10;026403587;Géographie;soutenue;;18-10-2012;fr;2012PA100125;non;26-09-2011;29-01-2014;
Mélanie Kolb;171521919;Dinámica del uso del suelo y cambio climático en la planeación sistemática para la conservación : un caso de estudio en la cuenca Grijalva-Usumacinta;Leopoldo Galicia Sarmiento,Martin Paegelow,Jean-François Mas;Galicia Sarmiento Leopoldo,Paegelow Martin,Mas Jean-François;174235674,083201432,124093760;Toulouse 2;026403994;Géographie;soutenue;;22-05-2013;esenfr;2013TOU20011;oui;26-09-2011;19-02-2016;
Ahcène Lakehal;176904115;La fabrication plurielle de centralités dans la périphérie de Constantine : le cas de la ville nouvelle Ali Mendjeli;Pierre Signoles;Signoles Pierre;027137899;Tours;026404478;Géographie;soutenue;;23-05-2013;fr;2013TOUR1501;oui;26-09-2011;02-12-2015;
Jean-Paul Fizaine;166672483;Les paléokarsts et les formations ferrugineuses associées dans le Bassin Parisien et ses bordures : caractérisations et évolutions géomorphologiques;Dominique Harmand;Harmand Dominique;031273750;Université de Lorraine;157040569;Géographie;soutenue;;01-10-2012;fr;2012LORR0179;oui;18-01-2013;04-07-2014;
Lahsen Anjar;16779678X;Organisation spatiale et vie rurale sur le Piémont du Haut Atlas Occidental : cas des vallées d'Imintanoute, Province de Chichaoua (Maroc);André Humbert;Humbert André;026928167;Université de Lorraine;157040569;Géographie;soutenue;;17-12-2012;fr;2012LORR0289;non;09-04-2013;09-04-2013;
Cyril Bonnefoy;168844710;Observation et modélisation spatiale de la température dans les terroirs viticoles du Val de Loire dans le contexte du changement climatique;Hervé Quenol,Malika Hélène Madelin;Quenol Hervé,Madelin Malika Hélène;069368104,086825615;Rennes 2;054447658;Géographie;soutenue;;12-04-2013;fr;2013REN20015;oui;19-04-2013;19-04-2013;
Caroline Moumaneix;168351773;Une approche géographique des parcs co-frontaliers entre les Etats-Unis et le Canada : politiques, coopérations et conflits : Les exemples des parcs nationaux de Glacier et des lacs Waterton, de Wrangell-Saint Elias et de Kluane, de North Cascades et des parcs provinciaux du lac Chilliwack et de la vallée de la Skagit;Eric Glon;Glon Eric;034642218;Lille 1;026404184;Géographie;soutenue;;23-11-2012;fr;2012LIL10106;oui;19-04-2013;19-04-2013;
Camille Clément;169174816;La publicisation des espaces agricoles périurbains : du processus global à la fabrique du lieu;Lucette Laurens;Laurens Lucette;029564573;Montpellier 3;026404702;Géographie;soutenue;;07-12-2012;fr;2012MON30058;oui;16-05-2013;14-12-2015;
Florian Delahaye;168855984;Analyse comparative des différents produits satellitaires d'estimation des précipitations en Amazonie brésilienne;Vincent Dubreuil,Luiz Augusto Toledo Machado;Dubreuil Vincent,Toledo Machado Luiz Augusto;057532974,152806091;Rennes 2;054447658;Géographie;soutenue;;15-04-2013;fr;2013REN20017;oui;22-05-2013;22-05-2013;
Lara Beretti;169318605;La question de la participation des acteurs locaux dans le processus de mise en place du parc naturel marin de Mayotte (France);Virginie Cazes-Duvat;Cazes-Duvat Virginie;049412655;La Rochelle;035375043;Géographie;soutenue;;25-09-2012;fr;2012LAROF042;oui;24-05-2013;24-05-2013;
Alissar Elias;17012908X;Territoires et conditions de vie : santé des femmes et des enfants dans trois quartiers squattés de la ville d’El-Mina, Liban-Nord;Jeanne-Marie Amat-Roze;Amat-Roze Jeanne-Marie;050623184;Paris Est;121855465;Géographie;soutenue;;11-12-2012;fr;2012PEST1175;non;21-06-2013;31-08-2016;
Francis Michaut;058657789;Disparités socio-spatiales de la prématurité : le cas de la Bourgogne;Jeanne-Marie Amat-Roze;Amat-Roze Jeanne-Marie;050623184;Paris Est;121855465;Géographie;soutenue;;06-12-2012;fr;2012PEST1180;non;24-06-2013;31-08-2016;
Guillaume Carrouet;169936325;Du TGV Rhin-Rhône au "Territoire" Rhin-Rhône : réticularité, mobilité et territorialité dans un espace intermédiaire;Jean-Jacques Bavoux;Bavoux Jean-Jacques;032943210;Dijon;02819005X;Géographie;soutenue;;19-03-2013;fr;2013DIJOL001;oui;24-06-2013;16-06-2017;
Landry Ekouala;16928798X;Le développement durable et le secteur des pêches et de l'aquaculture au Gabon : une étude de la gestion durable des ressources halieutiques et leur écosystème dans les provinces de l'Estuaire et de l'Ogooué Maritime;Christophe Beaurain;Beaurain Christophe;068981694;Littoral;030969379;Géographie;soutenue;;31-01-2013;fr;2013DUNK0312;oui;03-07-2013;03-07-2013;
Kadidiatou Souley Yero (Souley yero);169463826;Evolution de l'occupation des sols dans l'ouest du Niger : influence sur la cycle de l'eau;Luc Descroix;Descroix Luc;073722073;Grenoble;030327202;Géographie;soutenue;;18-12-2012;fr;2012GRENU034;oui;20-09-2013;08-12-2015;
Marion Lefeuvre;18130855X;"Dynamiques végétales contemporaines dans les estives de la Chaîne des Puys : Pour une approche intégrée";Marie-Françoise André;André Marie-Françoise;028604350;Clermont-Ferrand 2;026403102;Géographie;soutenue;;09-04-2013;fr;2013CLF20005;oui;04-10-2013;12-10-2016;
Antoine Grandclement;170096459;Géographie des pôles de compétitivité : réseaux et territoires de l'innovation;Sylvie Daviet;Daviet Sylvie;090356748;Aix-Marseille;15863621X;Géographie;soutenue;;09-11-2012;fr;2012AIXM3062;non;21-10-2013;27-03-2014;
Pauline Marty;176919724;Les appropriations urbaines de la question agricole. Le cas de Brive, de 1945 à 2012.;Sabine Barles,Taoufik Souami;Barles Sabine,Souami Taoufik;034389121,076973425;Paris 1;027361802;Geographie;soutenue;;02-10-2013;fr;2013PA010653;oui;29-10-2013;23-11-2016;
Anani Lazare Sossou-Agbo;178443654;La mobilité dans le complexe fluvio-lagunaire de la basse vallée de l'Ouémé au Bénin, en Afrique de l'Ouest;François Mancebo,Brice Sinsin;Mancebo François,Sinsin Brice;050524895,178443212;Grenoble;030327202;Géographie;soutenue;;21-05-2013;fr;2013GRENH017;oui;23-05-2014;23-05-2014;
Claire Tollis;178158348;Bien gérer les "espaces de nature", une éthique du faire avec : propositions pour une géographie des Associations hétérogènes.;Philippe Bourdeau;Bourdeau Philippe;029374812;Grenoble;030327202;Géographie;soutenue;;10-12-2012;fr;2012GRENH028;oui;14-04-2015;15-04-2015;
Inessa Baban;176541624;La géopolitique de l'énergie en Eurasie Centrale. Rivalités de pouvoirs et rapports de force autour des hydrocarbures de l'Azerbaidjan et du Turkménistan;Michel Korinman;Korinman Michel;02928676X;Paris 4;026403633;Géographie;soutenue;;08-10-2013;fr;2013PA040190;non;26-09-2011;10-04-2017;
Lanciné Diop;175913269;La production de l’espace résidentiel dans l’aire métropolitaine transfrontalière de Luxembourg;Jean-Luc Piermay;Piermay Jean-Luc;027072614;Paris 10;026403587;Géographie;soutenue;;07-11-2013;fr;2013PA100127;non;26-09-2011;17-03-2014;
Mélanie Gidel;176578447;Fermetures et porosités dans les territoires urbains à Fort-de-France (Martinique) et Port of Spain (Trinidad et Tobago);Alain Musset;Musset Alain;027043320;Paris 10;026403587;Géographie;soutenue;;31-01-2014;fr;2014PA100016;oui;26-09-2011;29-04-2017;
Sophie Liziard;176305246;Littoralisation de la façade nord-méditerranéenne : analyse spatiale et prospective dans le contexte du changement climatique;Christine Voiron-Canicio;Voiron-Canicio Christine;029208270;Nice;026403498;Geographie;soutenue;;11-12-2013;fr;2013NICE2040;oui;26-09-2011;20-02-2014;
Fanny Léostic;176187960;Rénovation urbaine, mobilités résidentielles et changement social : études comparées;Hervé Vieillard-Baron;Vieillard-Baron Hervé;033783195;Paris 10;026403587;Géographie;soutenue;;13-12-2013;fr;2013PA100192;oui;26-09-2011;14-03-2014;
Julie Prud'homme;177830972;Estimation et analyse spatiales des émissions de polluants de transports individualisés : évaluation des performances environnementales d'un Transport à la Demande;Didier Josselin,Cyrille Genre-Grandpierre;Josselin Didier,Genre-Grandpierre Cyrille;075076578,059844825;Avignon;026369044;Géographie;soutenue;;25-10-2013;fr;2013AVIG1126;oui;26-09-2011;16-05-2014;
Julian Courteix;17228645X;Emboitement de compétences relatives aux transports publics et frontières institutionnelles dans une agglomération multipolaire : le cas des Alpes-Maritimes.;Pierre Zembri;Zembri Pierre;033937680;Cergy-Pontoise;03463486X;Géographie;soutenue;;02-07-2013;fr;2013CERG0623;oui;15-05-2013;16-10-2013;
Elsa Paffoni;172307104;Renouveau du transport fluvial et dynamiques métropolitaines : le cas des ports fluviaux franciliens (1980-2010);Antoine Frémont;Frémont Antoine;050263080;Paris Est;121855465;Géographie;soutenue;;10-07-2013;fr;2013PEST1155;oui;07-06-2013;15-01-2016;
Clara Schmitt;18134324X;Modélisation de la dynamique des systèmes de peuplement : de SimpopLocal à SimpopNet.;Denise Pumain;Pumain Denise;027084914;Paris 1;027361802;Geographie;soutenue;;28-02-2014;fr;2014PA010511;oui;16-07-2013;28-10-2016;
Laurent Arcuset;178164674;La prise en compte de la diversité des acteurs dans un processus de tourisme durable.;Philippe Bachimon;Bachimon Philippe;030391202;Grenoble;030327202;Géographie;soutenue;;10-10-2013;fr;2013GRENH015;oui;16-10-2013;24-05-2016;
Lisa Lévy;17863493X;L'improvisation en aménagement du territoire : d'une réalité augmentée aux fondements d'une discipline pour l'action ? : enquête sur un projet interdépartemental (le pôle Orly);Olivier Soubeyran,Guillaume Faburel;Soubeyran Olivier,Faburel Guillaume;03006905X,06108753X;Grenoble;030327202;Géographie;soutenue;;22-10-2013;fr;2013GRENH019;oui;15-11-2013;05-06-2014;
Vincent Fister;175077401;Dynamique des écoulements dans les aquifères calcaires de bas plateaux : de l'identification à la quantification des types de circulation. Exemple des formations triasiques et jurassiques dans le nord-est de la France;Emmanuel Gille,Jeannine Corbonnois;Gille Emmanuel,Corbonnois Jeannine;132394219,061649945;Université de Lorraine;157040569;Géographie;soutenue;;07-12-2012;fr;2012LORR0405;oui;18-12-2013;11-05-2016;
Valentin Vaque;182329151;Transférabilité des pratiques et jeux d'acteurs dans des territoires européens à rediversifier. : Etude des cas de Bilbao, de Nowa Huta et du black country;Franck Chignier-Riboulon;Chignier-Riboulon Franck;050350390;Clermont-Ferrand 2;026403102;Geographie;soutenue;;07-02-2014;fr;2014CLF20002;oui;05-02-2014;12-10-2016;
Ana Casado;18069233X;Human impacts and fluvial metamorphosis : the effects of flow regulation on the hydrology, morphology and water temperature of the Sauce Grande River, Argentina.;Jean-Luc Peiry,Alicia Maria Campo;Peiry Jean-Luc,Campo Alicia Maria;034084622,180696467;Clermont-Ferrand 2;026403102;Geographie;soutenue;;18-06-2013;en;2013CLF20013;oui;17-10-2014;17-10-2015;
Hayuning Anggrahita;181358166;Le marketing social est-il la solution au problème de la consommation de l'eau à Jakarta (Indonésie)?;Olivier Sevin;Sevin Olivier;052195392;Paris 4;026403633;Géographie;soutenue;;26-06-2014;fr;2014PA040081;non;26-09-2011;16-02-2017;
Julie Blot;166141364;Les déguerpissements à Phnom Penh (Cambodge). Déplacements forcés et relocalisation contrainte des citadins pauvres;Olivier Sevin;Sevin Olivier;052195392;Paris 4;026403633;Géographie;soutenue;;04-12-2013;fr;2013PA040204;non;26-09-2011;03-04-2017;
Sophie Houzet;177100877;Développement numérique, territoires et collectivités : vers un modèle ouvert;Loïc Grasland;Grasland Loïc;035784997;Avignon;026369044;Géographie;soutenue;;23-04-2013;fr;2013AVIG1118;oui;26-09-2011;31-08-2016;
Anne-Marie Dumas;186339747;Entreprise socialement responsable, mondialisation et territoires : Quels impacts en Poitou-Charentes ?;Yves Jean;Jean Yves;180369199;Poitiers;026403765;Géographie;soutenue;;06-05-2014;fr;2014POIT5005;non;26-09-2011;15-12-2015;
Adrien Lammoglia;153096128;Analyse et modélisation multi-agents de transports flexibles : Comparaison de services français et sénégalais;Didier Josselin,Roger Faye;Josselin Didier,Faye Roger;075076578,177149515;Avignon;026369044;Géographie;soutenue;;14-10-2013;fr;2013AVIG1120;oui;26-09-2011;28-03-2014;
Florent Gohourou;179371681;Migrations internationales et territorialisations : les français dans la ville d'Abidjan (Côte d'Ivoire);Michel Desse;Desse Michel;050324500;Poitiers;026403765;Géographie;soutenue;;05-04-2013;fr;2013POIT5002;non;26-09-2011;15-12-2015;
Saliou Kamara;177122706;Développements hydrauliques et gestion d'un hydrosystème largement anthropisé : le delta du fleuve Sénégal;Philippe Martin,Oumar Diop,Adrien Coly;Martin Philippe,Diop Oumar,Coly Adrien;104484055,169666921,175876991;Avignon;026369044;Géographie;soutenue;;07-10-2013;fr;2013AVIG1119;oui;26-09-2011;08-05-2017;
Mohamed Mohsen Latrach;176034196;La grêle en Tunisie : diagnostic et gestion d'un risque agricole émergent;Freddy Vinet;Vinet Freddy;052599450;Montpellier 3;026404702;Géographie;soutenue;;18-10-2013;fr;2013MON30022;oui;26-09-2011;14-12-2015;
Jenna Piriou;176547126;Tourbières et boisements dirigés : gestion, représentations et trajectoires géohistoriques. Application aux forêts d’Ecouves (Basse-Normandie, France) et de Slieveanorra (Comté d’Antrim, Irlande du Nord);Jean-Paul Amat,Guy Lempérière;Amat Jean-Paul,Lempérière Guy;029639204,081711565;Paris 4;026403633;Géographie;soutenue;;03-12-2013;fr;2013PA040196;non;26-09-2011;03-04-2017;
Luigi Bellino;181736306;Politiques et outils de planification territoriale sur l'insécurité urbaine en Italie : le cas du plan stratégique de l'aire métropolitaine de Bari;Raffaele Cattedra,Rosalina Grumo;Cattedra Raffaele,Grumo Rosalina;069972095,067269362;Montpellier 3;026404702;Geographie;soutenue;;28-10-2013;fr;2013MON30094;non;26-09-2011;23-04-2016;
Clara Rachel Eybalin Casseus;193202832;Les migrants, acteurs transnationaux du développement : Les associations haïtiennes en France et jamaïcaines au Royaume-Uni;Patrick Gonin,Cédric Audebert;Gonin Patrick,Audebert Cédric;077174607,073283517;Poitiers;026403765;Géographie;soutenue;;02-12-2013;fr;2013POIT5017;non;26-09-2011;06-05-2017;
Riadh Soussi;176886699;Localisation des industries et enjeux urbains dans l'agglomération du Grand Tunis;Jean-Marie Miossec;Miossec Jean-Marie;060596511;Montpellier 3;026404702;Géographie;soutenue;;14-05-2013;fr;2013MON30042;oui;26-09-2011;14-12-2015;
Juliette Segard;179265326;Du rural à l'urbain dans la périphérie de Hà Nội (Vietnam) : Villages de métier, pouvoir et territoire;Alain Dubresson,Philippe Gervais-Lambony;Dubresson Alain,Gervais-Lambony Philippe;026840200,033124205;Paris 10;026403587;Géographie;soutenue;;06-03-2014;fr;2014PA100024;non;26-09-2011;06-05-2017;
Clément Colin;177124709;Patrimoine du présent, fondements et limites : les équipements producteurs d'électricité dans les vallées de la Loire et du Rhône;Nacima Baron-Yellès;Baron-Yellès Nacima;050462792;Paris Est;121855465;Géographie;soutenue;;16-12-2013;fr;2013PEST1172;oui;07-06-2013;15-01-2016;
Linda Boukhris;179743538;Imaginaire national et imaginaire touristique au Costa Rica : le tourisme comme fabrique du territoire et de la nation.;Maria Gravari-Barbas;Gravari-Barbas Maria;071587683;Paris 1;027361802;Geographie;soutenue;;10-12-2013;fr;2013PA010702;non;13-07-2013;03-10-2016;
Maxime Weigert;177321237;Tourisme et intégration euro-méditerranéenne : quel rôle pour les firmes touristiques dans l'évolution du tourisme au Maghreb ?;Maria Gravari-Barbas;Gravari-Barbas Maria;071587683;Paris 1;027361802;Geographie;soutenue;;12-12-2013;fr;2013PA010676;oui;13-07-2013;28-10-2016;
Foussata Dagnogo;180095226;Rail-route et dynamiques spatiales en Côte d'Ivoire.;Jean-Louis Chaléard,Lazare Atta Koffi;Chaléard Jean-Louis,Atta Koffi Lazare;034367659,142999210;Paris 1;027361802;Geographie;soutenue;;26-03-2014;fr;2014PA010517;non;17-07-2013;27-10-2016;
Mihaela Manea (Manila);178052760;Potentiel, valorisation et perspectives de développement de l’œnotourisme en Moldavie Occidentale;Sophie Lignon-Darmaillac,Corneliu Iaţu;Lignon-Darmaillac Sophie,Iaţu Corneliu;078541212,067112293;Paris 4;026403633;Géographie;soutenue;;14-10-2013;fr;2013PA040251;non;05-09-2013;04-04-2017;
Veronika Goertz;182458768;Les agences de voyages à l'ère de l'e-tourisme : étude comparée des évolutions en cours entre l'Allemagne et la France;Philippe Bachimon;Bachimon Philippe;030391202;Grenoble;030327202;Géographie;soutenue;;20-02-2014;fr;2014GRENH002;non;16-10-2013;18-12-2014;
Hadiara Yaye Saidou;190937955;Se déplacer à Niamey, mobilité et dynamique urbaine;Martin Vanier,Henri Kokou Motcho;Vanier Martin,Motcho Henri Kokou;031315453,145039293;Grenoble;030327202;Géographie;soutenue;;06-05-2014;fr;2014GRENH029;oui;03-12-2013;26-01-2016;
Olivier Obin;177350261;Territoires en construction : de la géographie sociale à l'acteur-réseau : une lecture des dynamiques sportives de nature dans les Grands Causses;Jean Corneloup;Corneloup Jean;060945567;Grenoble;030327202;Géographie;soutenue;;26-06-2013;fr;2013GRENH006;oui;13-12-2013;04-04-2014;
Cecile Lieval;189577231;Innovation technologique et risques insaisissables : une territorialisation impossible ?;Olivier Soubeyran;Soubeyran Olivier;03006905X;Grenoble;030327202;Géographie;soutenue;;11-12-2013;fr;2013GRENH034;non;07-01-2014;07-12-2015;
Milhan Chaze;182248739;Le commerce des petites villes : Organisation géographique et stratégies d'aménagement . : Etude du centre-est de la France;Christian Jamot;Jamot Christian;029397731;Clermont-Ferrand 2;026403102;Geographie;soutenue;;17-01-2014;fr;2014CLF20001;non;03-02-2014;10-10-2016;
Niels Martin;166657913;Les migrations d'agrément, marqueur d'une dynamique d'après tourisme dans les territoires de montagne;Philippe Bourdeau;Bourdeau Philippe;029374812;Grenoble;030327202;Géographie;soutenue;;25-10-2013;fr;2013GRENH009;oui;05-02-2014;14-04-2014;
Khaled Alzahrani;190654872;Du cultuel au culturel : le tourisme international en Arabie Saoudite;Philippe Bachimon;Bachimon Philippe;030391202;Grenoble;030327202;Géographie;soutenue;;19-02-2014;fr;2014GRENH028;non;06-03-2014;14-01-2016;
Fabiola Nicolas-Bragance (Bragance);177568372;Patrimoine culturel festif et tourisme : une interaction en question : Quelle stratégie pour la Martinique, la Guadeloupe et la Guyane ?;Pascal Saffache;Saffache Pascal;061495905;Antilles-Guyane;026603136;Géographie;soutenue;;13-12-2013;fr;2013AGUY0703;non;29-09-2014;29-04-2017;
Amandine Adamczewski-Hertzog (Adamczewski);181091836;Qui prendra ma terre ? : l'office du Niger, des investissements internationaux aux arrangements fonciers locaux;Jean-Philippe Tonneau,Jean-Yves Jamin;Tonneau Jean-Philippe,Jamin Jean-Yves;057529523,128284218;Montpellier 3;026404702;Géographie;soutenue;;31-03-2014;fr;2014MON30011;oui;26-09-2011;20-05-2017;
Lucie Bony;183367839;De la prison, peut-on voir la ville ? : continuum carcéral et socialisation résidentielle;Philippe Combessie,Jean-Pierre Lévy;Combessie Philippe,Lévy Jean-Pierre;03470888X,050647288;Paris 10;026403587;Géographie;soutenue;;06-12-2014;fr;2014PA100154;non;26-09-2011;24-07-2015;
